FID,X,Y,Aspect,DEM,DisToLinea,LineaDen,NDVI,Plan_Curva,Profile_Cu,Slope,Slope_Leng,STI,SPI,TPI,TWI,VRM,LULC_2015,habitat,GDP,DisFromRiv,DisFromRoa,target
463,109.84 ,32.36 ,23.7495003,505,60,0.200256,0.230388,0.0014789,-0.0013452,24.4757996,114.8529968,0.436241,-115.6780014,-0.918919,11.9183998,0.0009049,2,1400,293,711.1959839,108.1669998,0
464,110.09 ,32.42 ,257.1960144,1020,1650,0.302054,0.338555,-0.0048533,0.0001298,20.6070995,349.7059937,1.2692,-2381.320068,0.621622,13.0170002,0.0004168,2,100,205,4245.290039,6964.720215,0
465,110.00 ,32.42 ,338.1990051,655,496.5880127,0.161609,0.310307,0.0264669,-0.0007003,5.1287098,0,0.50328,-67.8472977,2.8648601,10.309,0.0025736,2,300,212,4123.229981,8826.320313,0
466,109.98 ,32.24 ,292.8340149,718,956.7130127,0.424106,0.299456,-0.0048165,0.0009299,18.9622993,499.7059937,0.856366,81.5348969,-0.702703,8.7574701,0.0010619,2,1400,208,5557.129883,6824.850098,0
467,110.09 ,32.27 ,341.5650024,364,655.210022,0.407587,0.12295,-0.0379473,-0.0013278,3.0169599,217.279007,0,-120.2689972,-3.5945899,13.7747002,0.001137,1,1400,292,150,1065.319946,0
468,109.87 ,32.37 ,60.9454002,508,708.0250244,0.229712,0.295797,0.0046121,0.0003061,9.7367802,0,0,9.6759996,0.297297,4.5327501,0.000106,2,1400,202,1771.02002,210,0
469,109.92 ,32.37 ,296.5650024,467,758.9470215,0.575378,0.217436,-0.0029814,-0.0019835,4.2626901,157.279007,7.4070501,1118.75,-2.8108101,5.56317,0.000909,1,1400,212,4428.839844,510,0
470,110.11 ,32.37 ,218.1569977,683,752.3959961,0.280527,0.256267,-0.0098866,0.0011164,16.5277996,192.4259949,0.0326834,224.9909973,-5.7567601,5.2781501,0.0062821,1,1400,211,4389.850098,8302.200195,0
471,110.11 ,32.31 ,306.8699951,548,991.8170166,0.340953,0.249484,-0.0110222,-0.0010348,14.0361996,314.5580139,0.630898,6221.140137,-7.94595,4.1557298,0.0082944,2,100,293,540.8330078,3901.040039,0
472,109.94 ,32.36 ,270,572,305.9410095,0.582718,0.191112,0,-0.0005287,10.3888998,60,0,129.6750031,1.21622,4.1345901,0.0003711,1,1400,210,5336.709961,750,0
