FID,X,Y,Aspect,DEM,DisToLinea,LineaDen,NDVI,Plan_Curva,Profile_Cu,Slope,Slope_Leng,STI,SPI,TPI,TWI,VRM,LULC_2015,habitat,GDP,DisFromRiv,DisFromRoa
68,109.922391,31.543309,136.3320007,2088,1889.050049,0.0596482,0.366733,-0.0045001,0.0059553,26.8803005,0,0.31967,-167.9400024,11.9729996,10.309,0.0141693,2,100,189,8864.429688,16682
69,109.922707,31.543311,140.1940002,2076,1899.73999,0.0592352,0.398006,-0.003974,0.0031581,33.0583,42.4263992,0.619889,-837.3170166,8.1081104,11.0021,0.0055018,2,100,189,8886.990234,16676.59961
70,109.923023,31.543314,144.1620026,2063,1910.839966,0.0588172,0.43235,-0.0026919,0.0016117,36.5059013,42.4263992,0.54685,-151.2870026,5.2972999,11.0021,0.0018913,2,100,189,8909.599609,16671.30078
71,109.923339,31.543317,144.3240051,2050,1922.339966,0.0583941,0.426775,-0.0003488,0.0014551,38.6659012,84.8527985,0.620566,130.4199982,4.2702699,4.12886,0.0010178,2,100,197,8932.25,16666
72,109.923655,31.543319,143.5690002,2035,1934.23999,0.057966,0.406925,-0.0009668,0.0010769,41.0241013,84.8527985,0.401692,16.6933002,2.7026999,6.1846099,0.0007338,2,100,197,8954.94043,16660.80078
73,109.923971,31.543322,142.125,2019,1946.540039,0.057533,0.402406,0.0004633,0.0006789,43.5355988,127.2789993,0.441318,-57.478199,1.45946,11.6952,0.0004801,2,100,197,8977.669922,16655.59961
74,109.924287,31.543325,139.8209991,2000,1959.209961,0.0570951,0.418425,0.0001302,-0.0006522,44.469101,127.2789993,0.676686,63.5112,-2.02703,5.42377,0.0004934,2,100,197,9000.450195,16650.5
75,109.924603,31.543327,139.3990021,1981,1972.26001,0.0566523,0.432526,-0.0002269,-0.0012416,42.6745987,127.2789993,0.670053,-445.4500122,-5.2972999,11.6952,0.0011646,2,100,197,9023.269531,16645.5
76,109.91955,31.543014,11.8886995,2121,1783.170044,0.0640841,0.325055,0.0020947,0.0018085,17.9319992,30,0.132911,-78.3970032,9.1621599,11.0021,0.0069559,2,100,189,8683.69043,16762.09961
77,109.919866,31.543017,20.5559998,2119,1789.969971,0.063713,0.374051,0.0093526,0.0015842,15.8970003,0,0,5.7383699,10.6485996,5.0552201,0.0097024,2,100,189,8705.790039,16756.19922
78,109.920182,31.54302,36.8698997,2115,1797.25,0.0633364,0.35907,0.0158222,-0.0000609,14.0361996,0,0.129838,296.2449951,10.1351004,1.11121,0.0106549,2,100,189,8727.94043,16750.5
79,109.920498,31.543022,52.125,2110,1804.98999,0.0629544,0.373199,0.0244002,-0.0012359,10.7595997,0,0.392075,124.7549973,8.7297297,1.97604,0.0108608,2,100,189,8750.129883,16744.69922
80,109.920814,31.543025,66.8013992,2106,1813.199951,0.0625671,0.375325,0.0410521,-0.0018329,7.23384,0,0.217751,42.0099983,8.7297297,3.0644901,0.0124698,2,100,189,8772.370117,16739.09961
81,109.92113,31.543028,120.9639969,2103,1821.869995,0.0621745,0.360865,-0.0048759,0.0037539,5.5507202,0,0.160749,-26.9811001,10.3514004,10.309,0.015536,2,100,189,8794.660156,16733.40039
82,109.921446,31.54303,149.0359955,2101,1830.979981,0.0617767,0.370377,-0.00992,0.0070788,10.9991999,0,0.135017,-8371.389648,13.4323997,10.309,0.0208924,2,100,189,8816.990234,16727.90039
83,109.921762,31.543033,143.6159973,2097,1840.540039,0.0613736,0.370088,-0.0015011,0.0071917,21.4720993,0,0.237787,-17.1401997,15,10.309,0.0217316,2,100,189,8839.370117,16722.40039
84,109.922078,31.543036,138.3659973,2087,1850.540039,0.0609654,0.346415,-0.0010436,0.0042376,31.0513,42.4263992,0.30064,-22.9020004,11.6485996,11.0021,0.010029,2,100,189,8861.790039,16716.90039
85,109.922394,31.543038,138.8139954,2073,1860.969971,0.0605522,0.352042,-0.0016511,0.001239,35.3242989,42.4263992,0.325376,57.8064003,5.91892,4.1315899,0.0018962,2,100,189,8884.259766,16711.5
86,109.92271,31.543041,138.6909943,2059,1871.819946,0.0601338,0.379616,-0.0014074,0.0005413,36.2113991,42.4263992,0.703835,-720.1370239,2.2432401,11.0021,0.0005219,2,100,189,8906.769531,16706.09961
87,109.923026,31.543043,140.1940002,2044,1883.079956,0.0597104,0.39244,-0.0030318,0.0006152,37.9906998,84.8527985,0.447569,27.0154991,-0.459459,5.7032099,0.0010872,2,100,189,8929.320313,16700.80078
88,109.923342,31.543046,142.223999,2029,1894.76001,0.0592821,0.407647,-0.0016774,0.0003838,40.1455994,84.8527985,0.302788,-75.0588989,-1.75676,11.4076004,0.0009944,2,100,197,8951.919922,16695.59961
89,109.923658,31.543049,141.1699982,2013,1906.829956,0.0588488,0.419053,-0.000672,-0.0002216,41.2565994,127.2789993,0.38217,52.9967003,-2.97297,5.6047502,0.0011532,2,100,197,8974.55957,16690.40039
90,109.923974,31.543051,140.3320007,1996,1919.300049,0.0584106,0.391099,-0.0003525,-0.0010309,41.5962982,127.2789993,0.402213,113.0439987,-4.3243198,4.8471999,0.0017859,2,100,197,8997.25,16685.19922
91,109.92429,31.543054,138.1799927,1979,1932.150024,0.0579675,0.414171,0.0004616,-0.0011568,40.3591003,169.7059937,0.637835,-78.3976974,-5.2972999,11.9183998,0.001746,2,100,197,9019.980469,16680.09961
92,109.924606,31.543057,136.6369934,1962,1945.380005,0.0575196,0.45265,0.0000373,-0.0005239,39.5326996,169.7059937,0.271687,-557.6539917,-6.3513498,11.9183998,0.001573,2,100,197,9042.75,16675.09961
93,109.918921,31.542738,18.4349003,2134,1741.550049,0.0657698,0.314932,0.0080111,0.0011051,14.7630997,0,0.0574534,-41.4963989,8.0540504,10.309,0.0063808,2,100,153,8660.080078,16803.30078
94,109.919237,31.542741,28.6105003,2131,1747.479981,0.0654038,0.376598,0.0131151,0.0000365,11.7957001,0,0.533172,-29.1285,9.3783798,10.309,0.0084556,2,100,153,8682.030273,16797.30078
95,109.919553,31.542744,49.3987007,2128,1753.910034,0.0650324,0.387498,0.0342835,-0.0002588,8.7356901,0,0.230389,-24.7140999,11.2161999,10.309,0.0141938,2,100,189,8704.030273,16791.5
96,109.919869,31.542746,78.6901016,2124,1760.819946,0.0646555,0.359178,0.0297946,0.0004709,9.6462202,0,0.169592,6.75418,12.1080999,4.89223,0.0152652,2,100,189,8726.080078,16785.69922
